#X,Y,X_true,Y_true,Phi,V,Zx,Zy,
-3.80857,18.9082,-3.69084,19.2739,3.59515,1.53512,-3.72133,19.0022,
-3.90017,18.8694,-3.78339,19.236,3.60515,1.53512,-3.81388,18.9643,
-3.99139,18.8298,-3.87556,19.1972,3.61516,1.53512,-3.90605,18.9255,
-4.0822,18.7892,-3.96734,19.1575,3.62517,1.53512,-3.99783,18.8858,
-4.1726,18.7477,-4.05871,19.1169,3.63518,1.53512,-4.0892,18.8452,
-4.26258,18.7054,-4.14967,19.0754,3.64518,1.53512,-4.18016,18.8037,
-4.35213,18.6621,-4.24022,19.0329,3.65519,1.53512,-4.27071,18.7612,
-4.44124,18.6179,-4.33033,18.9896,3.6652,1.53512,-4.36082,18.7178,
-4.52991,18.5729,-4.42001,18.9453,3.67521,1.53512,-4.4505,18.6736,
-4.61813,18.5269,-4.50923,18.9002,3.68521,1.53512,-4.53973,18.6284,
-4.70588,18.4801,-4.59801,18.8541,3.69522,1.53512,-4.6285,18.5824,
-4.79315,18.4324,-4.68632,18.8072,3.70523,1.53512,-4.71681,18.5355,
-4.87995,18.3838,-4.77415,18.7594,3.71523,1.53512,-4.80464,18.4877,
-4.96626,18.3344,-4.8615,18.7107,3.72524,1.53512,-4.89199,18.439,
-5.05207,18.2841,-4.94836,18.6612,3.73525,1.53512,-4.97885,18.3895,
-5.13737,18.233,-5.03472,18.6107,3.74525,1.53512,-5.06522,18.339,
-5.22215,18.181,-5.12058,18.5595,3.75526,1.53512,-5.15107,18.2878,
-5.30641,18.1281,-5.20591,18.5073,3.76526,1.53512,-5.2364,18.2356,
-5.39014,18.0744,-5.29072,18.4544,3.77527,1.53512,-5.32121,18.1826,
-5.47333,18.0199,-5.375,18.4005,3.78528,1.53512,-5.40549,18.1288,
-5.55596,17.9646,-5.45873,18.3459,3.79528,1.53512,-5.48922,18.0742,
-5.63804,17.9084,-5.54191,18.2904,3.80529,1.53512,-5.57241,18.0186,
-5.71956,17.8514,-5.62454,18.234,3.81529,1.53512,-5.65503,17.9623,
-5.8005,17.7936,-5.70659,18.1769,3.8253,1.53512,-5.73708,17.9052,
-5.88086,17.735,-5.78807,18.1189,3.8353,1.53512,-5.81857,17.8472,
-5.96062,17.6756,-5.86897,18.0601,3.84531,1.53512,-5.89946,17.7884,
-6.03979,17.6154,-5.94927,18.0005,3.85532,1.53512,-5.97977,17.7288,
-6.11836,17.5544,-6.02898,17.9401,3.86532,1.53512,-6.05947,17.6684,
