#File Generated by kernel at: Fri May  8 15:42:16 2020
#Time,P,V,
463.5,1.982,-2.93023,
464,1.75154,-2.3991,
464.5,1.9864,-2.66982,
465,1.90503,-2.66272,
465.5,1.72942,-2.05607,
466,1.8071,-1.71461,
466.5,2.13802,-2.503,
467,2.15303,-3.34261,
467.5,1.84731,-3.13845,
468,1.83487,-2.89181,
468.5,1.96076,-3.07498,
469,1.98552,-3.34271,
469.5,1.73267,-2.74715,
470,1.84569,-2.53745,
470.5,1.84464,-2.32415,
471,1.93921,-2.43377,
471.5,1.84205,-2.21164,
472,2.06533,-2.75186,
472.5,1.9385,-2.85903,
473,1.91804,-2.89636,
473.5,1.94131,-3.01315,
474,1.87316,-2.89724,
474.5,1.86486,-2.75301,
475,1.73633,-2.16994,
475.5,1.82085,-1.87545,
476,1.87631,-1.77031,
476.5,2.04629,-2.2455,
477,1.97161,-2.46574,
477.5,1.81095,-2.13744,
478,2.00839,-2.48323,
478.5,1.88385,-2.40382,
479,1.91474,-2.42987,
479.5,1.91516,-2.45738,
480,1.93567,-2.55491,
480.5,1.95226,-2.70905,
481,1.97226,-2.9315,
481.5,1.95224,-3.08558,
482,1.7293,-2.4785,
482.5,1.94904,-2.62168,
483,2.04332,-3.08675,
483.5,1.96577,-3.28703,
484,1.79369,-2.89979,
484.5,1.83402,-2.65025,
485,1.93316,-2.73919,
485.5,1.82381,-2.4548,
486,1.98224,-2.71133,
486.5,2.03077,-3.13353,
487,1.85262,-2.9475,
487.5,1.81911,-2.64705,
488,1.89182,-2.59486,
488.5,1.85259,-2.40871,
489,1.9043,-2.39914,
489.5,1.85168,-2.2099,
490,2.04148,-2.66867,
490.5,1.87231,-2.54985,
491,1.90242,-2.53386,
491.5,1.8746,-2.42289,
492,2.01063,-2.77633,
492.5,1.79446,-2.39172,
493,1.81642,-2.08209,
493.5,2.01656,-2.45579,
494,1.88871,-2.39297,
494.5,1.87141,-2.27109,
495,1.89068,-2.21502,
495.5,2.03647,-2.6567,
496,1.87878,-2.55999,
496.5,1.86041,-2.40056,
497,2.00536,-2.73602,
497.5,1.82423,-2.45307,
498,1.92935,-2.52902,
498.5,1.94845,-2.67017,
499,1.94218,-2.78991,
499.5,1.81442,-2.47345,
