#File Generated by kernel at: Fri May  8 15:42:16 2020
#Time,P,V,
105.5,1.92831,-3.44764,
106,1.7953,-3.06592,
106.5,1.898,-3.03482,
107,1.92002,-3.07892,
107.5,1.87463,-2.96804,
108,1.6957,-2.24624,
108.5,1.94455,-2.37408,
109,1.88007,-2.28178,
109.5,1.88434,-2.20406,
110,1.80372,-1.85106,
110.5,2.0193,-2.23411,
111,1.96528,-2.43273,
111.5,1.96798,-2.64057,
112,1.92616,-2.70561,
112.5,1.96435,-2.90105,
113,2.01103,-3.25588,
113.5,1.88891,-3.19374,
114,1.83724,-2.9552,
114.5,1.95522,-3.11948,
115,1.89475,-3.07729,
115.5,2.09945,-3.73398,
116,1.91555,-3.76279,
116.5,1.91961,-3.80547,
117,1.82017,-3.50864,
117.5,1.81255,-3.18579,
118,1.79215,-2.79329,
118.5,1.81165,-2.46739,
119,1.9933,-2.76167,
119.5,1.97154,-2.98166,
120,1.9648,-3.17864,
120.5,1.86776,-3.0443,
121,1.85224,-2.85697,
121.5,1.85128,-2.66638,
122,1.97616,-2.90214,
122.5,1.97682,-3.14015,
123,1.8259,-2.86288,
123.5,2.02332,-3.25965,
124,1.87116,-3.13691,
124.5,1.81886,-2.83561,
125,1.92853,-2.90875,
125.5,2.00464,-3.24175,
126,1.80904,-2.90694,
126.5,1.93916,-3.01638,
127,2.0102,-3.36835,
127.5,1.88303,-3.28616,
128,1.7748,-2.83443,
128.5,1.7876,-2.42642,
129,1.86347,-2.27743,
129.5,1.98513,-2.54383,
130,1.90883,-2.5497,
130.5,1.93015,-2.62836,
131,1.96523,-2.82681,
131.5,2.00782,-3.17067,
132,2.07457,-3.74242,
132.5,1.8503,-3.54846,
133,1.74975,-3.01122,
133.5,1.8338,-2.76094,
134,2.09112,-3.3892,
134.5,1.81683,-3.08098,
135,1.78215,-2.65434,
135.5,1.79504,-2.27173,
136,2.01105,-2.62662,
136.5,1.91086,-2.63942,
137,2.02368,-3.03743,
137.5,1.79672,-2.66053,
138,1.9146,-2.6861,
138.5,1.95167,-2.83824,
139,1.86732,-2.70242,
139.5,1.89186,-2.65038,
140,1.98752,-2.92491,
140.5,1.984,-3.18744,
141,1.88865,-3.12442,
141.5,1.93453,-3.21805,
142,1.78341,-2.79574,
142.5,1.91727,-2.83043,
143,1.91372,-2.85299,
143.5,1.91205,-2.86987,
144,1.96658,-3.07293,
144.5,1.8486,-2.87317,
145,1.85975,-2.71148,
145.5,1.98219,-2.96782,
